time,target_x,target_y,target_z,actual_x,actual_y,actual_z
12.1,0.0,0.0,15.0,-0.00024635080535106925,-0.00027444097119059575,14.855929002394074
12.1,-0.00024635080535106925,-0.00027444097119059575,15.0,-0.00024635080535106925,-0.00027444097119059575,14.855929002394074
12.2,-0.0002658945653652496,-0.0002391884911888689,15.0,-0.0002658945653652496,-0.0002391884911888689,14.887291237134091
12.2,-0.0002658945653652496,-0.0002391884911888689,15.0,-0.0002658945653652496,-0.0002391884911888689,14.887291237134091
12.299999999999999,-0.0002646805067396954,-0.0002019702930709762,15.0,-0.0002646805067396954,-0.0002019702930709762,14.91268480699249
12.299999999999999,-0.0002646805067396954,-0.0002019702930709762,15.0,-0.0002646805067396954,-0.0002019702930709762,14.91268480699249
12.4,-0.00022988779248025437,-0.0001657632039163607,15.0,-0.00022988779248025437,-0.0001657632039163607,14.93283987552968
12.4,-0.00022988779248025437,-0.0001657632039163607,15.0,-0.00022988779248025437,-0.0001657632039163607,14.93283987552968
12.5,-0.00018113556104158994,-0.00013644131814881928,15.0,-0.00018113556104158994,-0.00013644131814881928,14.94866534981432
12.5,-0.00018113556104158994,-0.00013644131814881928,15.0,-0.00018113556104158994,-0.00013644131814881928,14.94866534981432
12.6,-0.0001352146507659413,-0.00011689237704949344,15.0,-0.0001352146507659413,-0.00011689237704949344,14.960888514077961
12.6,-0.0001352146507659413,-0.00011689237704949344,15.0,-0.0001352146507659413,-0.00011689237704949344,14.960888514077961
12.7,-0.00010864165870813379,-0.000107868012719641,15.0,-0.00010864165870813379,-0.000107868012719641,14.970186076313393
12.7,-0.00010864165870813379,-0.000107868012719641,15.0,-0.00010864165870813379,-0.000107868012719641,14.970186076313393
12.799999999999999,-0.00011115588014663262,-0.00011040328700196944,15.0,-0.00011115588014663262,-0.00011040328700196944,14.977142512449273
12.799999999999999,-0.00011115588014663262,-0.00011040328700196944,15.0,-0.00011115588014663262,-0.00011040328700196944,14.977142512449273
12.9,-0.00013829886743984865,-0.00012097325874970005,15.0,-0.00013829886743984865,-0.00012097325874970005,14.982270486443197
12.9,-0.00013829886743984865,-0.00012097325874970005,15.0,-0.00013829886743984865,-0.00012097325874970005,14.982270486443197
13.0,-0.00016628335953543065,-0.00013506877698988564,15.0,-0.00016628335953543065,-0.00013506877698988564,14.98599344504429
13.0,-0.00016824586366408055,-0.00013650596803321105,15.0,-0.00016824586366408055,-0.00013650596803321105,14.986301329775763
13.1,-0.00017288706596275047,-0.0001480340160016017,15.0,-0.00017288706596275047,-0.0001480340160016017,14.988633218519281
13.1,-0.00017288706596275047,-0.0001480340160016017,15.0,-0.00017288706596275047,-0.0001480340160016017,14.988633218519281
13.2,-0.0001479018758322721,-0.00015594476088438613,15.0,-0.0001479018758322721,-0.00015594476088438613,14.990451813443164
13.2,-0.0001479018758322721,-0.00015594476088438613,15.0,-0.0001479018758322721,-0.00015594476088438613,14.990451813443164
13.299999999999999,-0.00010488953959201634,-0.0001573609574212918,15.0,-0.00010488953959201634,-0.0001573609574212918,14.99166896860761
13.299999999999999,-0.00010488953959201634,-0.0001573609574212918,15.0,-0.00010488953959201634,-0.0001573609574212918,14.99166896860761
13.4,-6.905860130586979e-05,-0.0001523886991865112,15.0,-6.905860130586979e-05,-0.0001523886991865112,14.99247170228944
13.4,-6.905860130586979e-05,-0.0001523886991865112,15.0,-6.905860130586979e-05,-0.0001523886991865112,14.99247170228944
13.5,-6.018780201861637e-05,-0.00014266768201700764,15.0,-6.018780201861637e-05,-0.00014266768201700764,14.992984935170005
13.5,-6.018780201861637e-05,-0.00014266768201700764,15.0,-6.018780201861637e-05,-0.00014266768201700764,14.992984935170005
13.6,-8.156916468858106e-05,-0.00013076128974298708,15.0,-8.156916468858106e-05,-0.00013076128974298708,14.993293652981084
13.6,-8.156916468858106e-05,-0.00013076128974298708,15.0,-8.156916468858106e-05,-0.00013076128974298708,14.993293652981084
13.7,-0.0001188634649405737,-0.00011975150087842604,15.0,-0.0001188634649405737,-0.00011975150087842604,14.993461986772344
13.7,-0.0001188634649405737,-0.00011975150087842604,15.0,-0.0001188634649405737,-0.00011975150087842604,14.993461986772344
13.799999999999999,-0.00014807761418121683,-0.00011191700418380751,15.0,-0.00014807761418121683,-0.00011191700418380751,14.993536117218264
13.799999999999999,-0.00014807761418121683,-0.00011191700418380751,15.0,-0.00014807761418121683,-0.00011191700418380751,14.993536117218264
13.9,-0.0001491532593202723,-0.00010855654547980868,15.0,-0.0001491532593202723,-0.00010855654547980868,14.99354917061351
13.9,-0.00014738035072573067,-0.00010853368952953091,15.0,-0.00014738035072573067,-0.00010853368952953091,14.993547950697078
14.0,-0.00012430221802819854,-0.00010984178017576853,15.0,-0.00012430221802819854,-0.00010984178017576853,14.99352867190729
14.0,-0.00012430221802819854,-0.00010984178017576853,15.0,-0.00012430221802819854,-0.00010984178017576853,14.99352867190729
14.1,-8.556361352358646e-05,-0.00011431693923383561,15.0,-8.556361352358646e-05,-0.00011431693923383561,14.993489054296948
14.1,-8.556361352358646e-05,-0.00011431693923383561,15.0,-8.556361352358646e-05,-0.00011431693923383561,14.993489054296948
14.2,-5.885445209360999e-05,-0.00012025145637071909,15.0,-5.885445209360999e-05,-0.00012025145637071909,14.993441741424506
14.2,-5.885445209360999e-05,-0.00012025145637071909,15.0,-5.885445209360999e-05,-0.00012025145637071909,14.993441741424506
