Tiempo_s,Tension_1_N,Tension_2_N,Tension_3_N,Tension_4_N
8.091,147.81,137.10,153.33,154.60
8.136,147.78,135.90,155.82,154.26
8.186,147.76,135.71,226.68,211.04
8.244,147.68,135.15,228.38,207.72
8.295,147.65,134.96,226.68,204.98
8.340,147.63,134.78,224.70,202.23
8.410,147.59,134.43,220.58,197.02
8.437,147.53,133.76,191.53,169.98
8.488,147.50,133.28,188.46,167.17
8.540,147.49,133.12,188.45,167.32
8.595,147.47,132.67,189.23,168.32
8.635,147.45,132.23,165.84,155.98
8.688,147.45,132.08,167.35,156.30
8.735,147.43,131.66,172.51,158.22
8.785,147.41,131.11,176.45,159.97
8.835,147.41,130.98,178.39,160.80
8.886,147.40,141.29,156.33,158.34
8.936,147.39,139.76,159.38,158.78
8.986,147.39,138.11,162.30,159.01
9.040,147.38,136.53,164.75,159.07
9.090,147.38,148.76,146.65,161.47
9.144,147.38,148.94,145.67,160.66
9.188,147.37,148.12,146.72,160.53
9.244,147.37,145.28,150.06,160.14
9.295,147.37,142.68,151.86,160.03
9.353,147.36,152.85,139.26,162.71
9.393,147.35,150.21,145.42,162.89
9.439,147.35,150.21,145.42,162.89
9.491,147.34,146.92,154.06,164.03
9.538,147.33,145.89,159.36,165.50
9.586,147.33,158.72,160.59,166.04
9.635,147.32,158.07,145.41,170.89
9.689,147.31,157.32,146.97,170.92
9.737,147.30,156.00,149.86,170.81
9.800,147.30,155.45,151.05,170.73
9.851,147.29,154.96,152.10,170.62
9.900,147.29,154.52,153.00,170.50
9.955,147.26,153.23,155.34,169.83
9.990,147.25,152.94,155.71,169.70
10.040,147.23,152.92,155.73,169.54
10.089,147.23,152.92,155.73,169.54
10.135,156.45,125.32,224.28,158.09
10.188,151.09,124.93,212.92,160.86
10.237,148.12,124.75,205.45,162.55
10.296,147.13,124.57,200.66,163.12
10.342,147.12,127.52,189.63,162.69
10.385,147.12,128.88,191.24,164.54
10.444,147.10,138.91,189.34,170.50
10.489,147.07,148.32,189.44,176.81
10.561,147.07,149.88,189.67,177.91
10.607,148.72,155.95,185.01,180.12
10.635,151.83,156.94,186.34,179.92
10.689,152.63,155.49,186.50,178.35
10.740,152.79,154.53,186.34,177.30
10.789,152.75,152.29,186.03,176.09
10.848,152.47,149.32,181.82,170.01
10.885,152.47,149.32,181.82,170.01
10.937,151.39,145.45,179.49,165.13
10.991,150.68,143.35,177.85,162.08
11.037,150.16,141.95,176.36,159.62
11.090,150.45,140.99,176.52,158.19
11.138,150.31,140.85,174.93,156.68
11.192,150.43,140.85,174.93,156.17
11.240,150.91,142.30,174.10,155.53
11.288,151.69,144.05,173.88,155.86
11.340,152.46,148.04,170.95,157.37
11.388,153.08,149.18,171.12,157.91
11.441,154.94,153.04,171.67,160.00
11.486,156.00,155.86,171.77,161.62
11.542,156.76,158.69,171.45,163.25
11.588,157.44,163.07,168.88,165.42
11.643,157.14,165.01,167.31,166.50
11.690,156.80,165.89,166.30,166.96
11.741,155.77,167.45,163.94,167.71
11.793,154.32,168.83,161.13,168.35
11.840,167.06,162.27,169.37,156.33
11.886,163.34,164.68,165.23,158.27
11.935,163.34,165.47,163.34,158.84
11.986,159.48,167.93,158.24,161.53
12.042,153.38,171.61,150.87,164.41
12.089,152.16,173.13,148.23,166.96
12.137,149.26,174.85,145.59,169.44
12.190,146.62,181.49,140.64,176.38
12.235,146.59,182.70,140.52,177.62
12.292,146.53,184.93,140.86,180.01
12.342,146.44,186.94,142.19,181.62
12.386,146.40,188.07,142.71,183.25
12.439,146.31,190.83,144.11,187.41
12.485,146.24,192.22,145.07,189.75
12.541,146.21,192.71,145.50,190.69
12.587,146.14,193.28,146.21,192.11
12.643,146.11,191.77,146.19,189.33
12.696,146.05,191.50,146.45,189.95
12.735,145.89,188.91,145.81,189.69
12.785,145.86,188.18,145.56,189.23
12.836,145.80,187.44,145.28,188.69
12.912,145.74,183.58,143.58,183.45
12.935,145.71,182.89,143.22,183.06
12.991,145.62,181.05,142.24,182.15
13.043,145.56,180.06,141.94,181.96
13.094,145.53,179.74,141.56,181.75
13.137,145.45,177.66,140.56,178.51
13.204,145.36,177.60,140.54,179.98
13.239,145.30,177.69,140.71,180.53
13.290,145.25,177.72,140.95,181.85
13.341,145.19,173.31,148.46,183.30
13.391,145.11,173.54,147.51,183.27
13.439,145.05,173.12,146.60,182.60
13.497,144.97,171.50,145.05,180.62
13.539,144.91,169.85,143.93,178.72
13.595,144.88,168.90,143.37,177.66
13.635,144.82,166.80,142.26,175.36
13.693,144.70,162.13,140.19,170.60
13.735,144.64,157.75,139.22,163.65
13.792,144.53,156.10,138.50,162.77
13.843,144.50,154.79,138.00,162.64
13.887,144.46,154.32,137.91,162.75
13.938,144.32,153.49,138.44,164.50
13.990,144.24,152.70,138.15,162.03
14.038,144.12,153.65,139.47,166.96
14.092,144.04,154.68,140.62,170.02
14.143,143.99,155.28,141.23,171.53
14.186,143.83,156.49,142.51,173.68
14.235,143.83,156.49,142.51,173.68
14.288,143.70,157.67,143.28,176.71
14.343,143.66,158.23,143.58,178.17
14.392,143.62,159.23,144.02,180.75
14.437,143.46,158.68,144.12,183.73
14.497,143.42,158.92,143.14,180.61
14.538,143.30,159.60,142.06,182.22
14.588,143.26,159.79,141.64,182.59
14.637,143.15,160.39,140.16,183.41
14.691,143.08,158.90,139.26,180.35
14.738,143.01,159.84,138.30,180.90
14.798,142.98,160.37,137.74,181.43
14.843,142.91,161.62,136.70,182.71
14.891,142.88,162.34,136.24,183.43
14.939,142.85,163.09,136.02,184.26
14.996,142.79,164.77,135.99,186.19
15.039,142.73,163.95,135.96,184.27
15.089,142.59,169.01,135.89,190.45
15.149,142.53,170.66,135.86,192.53
15.189,142.51,171.34,135.84,193.41
15.238,142.46,169.96,135.81,191.26
15.286,142.41,170.81,135.78,192.25
15.343,142.34,171.43,135.74,192.96
15.388,142.29,171.31,135.71,192.63
15.440,142.25,170.82,135.69,191.77
15.490,142.16,167.31,135.64,186.54
15.538,142.14,166.95,135.62,185.98
15.585,142.10,166.29,135.60,184.87
15.640,142.06,165.78,135.58,183.84
15.687,142.02,163.56,135.56,180.34
15.738,141.98,163.65,135.54,180.12
15.785,141.93,164.13,135.52,180.35
15.841,141.89,164.91,135.50,180.86
15.886,141.85,165.92,135.48,181.57
15.950,141.83,166.26,135.47,180.00
15.994,141.79,167.40,135.46,181.12
16.039,141.77,167.98,135.45,181.74
16.092,141.73,169.08,135.43,182.81
16.148,141.65,170.73,135.41,184.07
16.189,141.63,170.77,135.40,184.81
16.242,141.59,172.35,135.38,187.53
16.292,141.54,171.80,135.36,185.78
16.353,141.50,170.84,135.35,184.01
16.390,141.49,170.84,135.35,184.01
16.450,141.47,169.60,135.33,182.15
16.491,141.44,169.63,135.32,183.97
16.540,141.43,168.90,135.31,182.84
16.590,141.40,167.56,135.29,180.52
16.652,141.37,166.42,135.28,178.43
16.685,141.35,165.58,135.26,176.91
16.749,141.33,166.44,136.81,176.33
16.786,141.33,166.44,136.81,180.33
16.835,141.32,166.35,137.25,180.17
16.893,141.27,167.44,139.53,180.38
16.938,141.25,168.43,140.05,181.29
16.985,141.24,169.01,140.24,181.90
17.038,141.23,170.05,142.20,185.13
17.088,141.21,172.81,142.72,189.77
17.139,141.20,174.22,142.50,190.94
17.197,141.19,175.87,141.60,191.67
17.236,141.18,177.62,142.36,196.85
17.287,141.17,177.53,140.12,195.15
17.337,141.17,177.40,139.33,194.19
17.394,141.17,176.90,137.51,192.15
17.445,141.17,176.57,136.52,191.07
17.487,141.17,174.58,134.87,186.95
17.538,141.17,173.06,134.85,184.75
17.592,141.18,172.16,134.83,183.72
17.634,141.18,171.55,134.82,185.82
17.685,141.18,173.26,134.81,189.03
17.745,141.18,173.58,134.81,188.84
17.785,141.18,174.32,134.80,188.65
17.836,141.19,174.72,134.80,188.69
17.895,141.19,175.50,134.79,188.98
17.939,141.19,175.90,134.79,189.18
17.991,141.21,122.94,221.98,185.70
18.035,141.22,122.94,214.24,185.08
18.099,141.25,122.96,206.63,182.86
18.140,141.26,122.99,200.58,179.64
18.187,141.30,123.01,198.04,177.85
18.249,141.36,155.49,194.14,219.75
18.291,141.41,158.54,190.34,213.03
18.338,141.53,157.83,181.49,197.06
18.387,141.57,156.78,178.93,193.74
18.440,141.64,172.12,172.23,216.52
18.495,141.72,167.63,168.46,206.70
18.541,141.77,165.27,166.57,201.84
18.591,141.86,160.93,162.74,197.38
18.645,141.90,158.98,160.85,189.26
18.690,142.10,161.08,160.45,199.35
18.742,142.21,159.48,157.56,193.92
18.794,142.37,158.31,154.29,187.36
18.841,142.49,158.23,152.31,185.04
18.894,142.61,160.34,163.12,202.27
18.951,142.73,161.45,160.46,200.31
18.991,142.85,162.35,157.50,198.02
19.046,143.04,163.31,152.39,195.54
19.085,143.17,159.10,158.99,198.54
19.140,143.30,164.67,148.62,199.30
19.200,143.37,164.67,148.62,199.30
19.236,143.44,165.41,143.93,197.69
19.300,143.57,166.07,138.96,196.22
19.342,143.71,161.55,144.40,199.92
19.390,143.85,165.63,135.36,200.46
19.443,143.99,167.23,131.12,199.92
19.485,144.06,167.73,131.03,199.74
19.547,144.42,170.04,130.69,199.92
19.587,144.57,169.00,130.43,206.54
19.636,144.72,171.36,130.35,207.88
19.687,144.80,173.17,130.18,208.19
19.744,145.03,175.31,129.94,208.45
19.785,145.11,175.89,129.86,208.41
19.838,200.12,128.20,177.19,208.30
19.897,157.40,128.37,166.15,112.44
19.949,151.11,128.53,151.85,112.36
19.990,149.42,128.62,144.69,112.22
20.038,146.51,128.79,131.73,112.08
20.096,146.07,129.04,128.90,161.17
20.141,146.14,129.12,128.82,164.42
20.192,146.36,129.37,128.58,161.58
20.244,146.59,129.63,130.73,150.82
20.289,146.73,131.82,134.55,146.71
20.342,146.88,146.10,140.19,166.82
20.392,146.96,155.22,135.85,172.66
20.436,147.18,159.27,138.92,169.53
20.488,147.40,159.53,141.21,165.96
20.539,147.48,159.21,141.81,164.80
20.590,147.77,166.59,142.97,179.29
20.637,147.77,166.59,142.97,179.29
20.702,147.92,164.05,144.32,174.40
20.746,148.07,160.87,145.90,168.35
20.786,148.21,157.40,147.64,161.85
20.835,148.28,155.63,148.50,158.61
20.885,148.36,153.65,155.54,161.83
20.949,148.50,152.99,154.01,159.74
20.988,148.91,145.27,155.04,148.26
21.035,149.10,132.92,190.91,127.78
21.089,149.22,133.12,184.01,131.18
21.137,149.34,133.33,176.92,134.35
21.187,149.40,133.43,173.62,135.73
21.235,149.51,133.64,167.68,138.06
21.289,149.67,133.85,166.58,153.39
21.340,149.72,134.06,162.32,154.59
21.386,149.82,134.28,160.62,154.55
21.440,149.92,137.75,156.75,155.35
21.487,150.02,141.35,155.28,157.29
21.544,150.11,151.81,159.92,174.50
21.590,150.25,159.88,157.07,180.90
21.642,150.39,172.10,151.86,190.86
21.687,150.48,181.58,146.29,199.56
21.735,150.62,182.33,151.34,210.21
21.803,150.77,185.10,147.82,212.24
21.835,150.77,186.28,145.85,212.91
21.887,150.92,188.74,139.59,213.60
21.941,151.03,189.41,135.31,212.98
21.991,151.14,180.65,144.18,214.24
22.045,151.31,181.47,137.13,211.15
22.094,151.43,182.31,132.15,208.72
22.151,151.62,183.05,125.43,205.66
22.187,151.68,174.32,136.56,207.99
22.241,151.81,174.47,134.74,207.46
22.297,151.94,176.50,128.76,206.65
22.342,152.07,177.51,126.64,206.66
22.416,152.14,179.32,123.01,207.13
22.444,152.27,180.12,121.37,207.61
22.486,152.41,173.65,131.00,212.89
22.550,152.55,175.58,127.68,214.74
22.596,152.77,177.39,123.84,215.26
22.645,152.91,177.29,121.87,214.38
22.687,153.06,176.87,121.06,213.57
22.741,153.13,168.85,131.84,215.68
22.789,153.28,167.90,129.88,212.05
22.841,153.51,165.23,127.02,204.84
22.913,153.66,162.69,125.53,199.65
22.936,153.74,161.29,124.94,196.90
22.995,153.82,156.65,117.65,127.29
23.040,153.89,155.05,117.65,127.29
23.094,153.97,152.94,117.50,123.44
23.148,160.40,141.87,117.17,136.70
23.188,163.28,142.02,117.05,141.45
23.237,156.12,142.09,116.99,151.03
23.289,157.59,142.15,116.93,151.03
23.337,158.08,142.22,116.88,151.33
23.392,159.22,142.42,116.71,152.09
23.443,160.24,144.18,116.55,153.38
23.490,160.59,145.04,116.50,153.96
23.538,160.36,146.33,116.45,155.58
23.587,161.34,148.94,116.31,157.66
23.643,161.60,149.84,116.26,158.36
23.705,162.86,151.50,116.29,159.74
23.744,163.20,150.34,122.54,161.12
23.803,167.63,152.89,132.93,160.92
23.838,167.61,153.07,137.11,162.54
23.901,166.49,153.02,141.90,165.81
23.942,165.29,152.97,142.68,166.55
23.985,164.62,152.85,143.85,167.96
24.039,160.30,149.24,149.41,170.84
24.093,158.59,150.11,149.41,173.05
24.136,158.12,150.55,149.31,173.88
24.186,157.38,151.63,149.11,175.73
24.256,156.98,152.99,148.95,177.87
24.290,155.81,152.31,153.77,182.02
24.345,155.84,154.82,152.98,184.86
24.385,156.07,157.48,152.08,187.84
24.437,157.50,161.57,150.87,192.19
24.490,157.27,161.74,153.69,195.87
24.541,157.96,164.19,151.85,197.80
24.585,158.35,166.24,149.75,199.20
24.644,158.25,168.31,146.26,200.13
24.686,156.12,166.15,150.24,206.60
24.735,156.16,167.10,147.71,205.72
24.785,156.18,167.56,146.40,204.93
24.836,156.24,168.54,142.61,202.03
24.886,156.26,168.73,141.46,200.98
24.940,156.33,170.90,136.09,199.64
24.993,156.35,170.98,135.44,198.63
25.037,156.38,170.86,134.82,196.60
25.086,156.43,170.65,134.90,194.18
25.140,156.46,171.15,135.34,194.96
25.190,156.49,173.46,133.03,195.52
25.243,156.52,173.00,134.98,194.89
25.290,156.56,172.28,138.39,194.48
25.338,156.57,172.03,139.59,194.43
25.389,156.61,175.02,138.42,197.50
25.435,156.62,174.42,139.83,197.21
25.487,156.62,174.42,139.83,197.21
25.535,156.67,171.33,145.47,195.23
25.585,156.68,170.46,146.76,194.53
25.638,156.70,168.65,149.03,192.96
25.686,156.74,170.53,145.66,193.27
25.742,156.75,169.27,146.69,192.01
25.785,156.76,167.96,147.70,190.69
25.837,156.81,163.13,151.23,185.21
25.888,156.83,161.08,152.60,182.71
25.939,156.86,164.63,146.68,183.97
26.002,156.88,162.60,148.24,181.78
26.036,156.89,161.57,149.13,180.74
26.091,156.92,159.99,150.77,179.08
26.142,156.93,159.33,151.60,178.38
26.193,156.94,161.61,148.74,180.05
26.243,156.96,163.07,146.60,180.35
26.285,156.99,161.89,148.74,179.39
26.343,157.05,163.22,145.82,180.91
26.386,157.05,162.48,147.04,180.05
26.435,157.06,161.05,148.14,178.93
26.487,157.07,160.37,148.55,178.33
26.539,157.07,159.00,149.10,177.06
26.588,157.08,157.77,149.29,175.80
26.659,157.08,161.84,141.35,177.81
26.702,157.08,160.04,142.03,176.18
26.738,157.08,159.23,142.33,175.47
26.794,157.07,157.82,142.81,174.87
26.857,180.43,145.81,240.87,173.93
26.903,157.05,145.78,256.17,171.33
26.944,157.04,145.76,256.61,171.16
26.990,157.00,145.71,234.64,187.88
27.036,156.98,145.68,219.67,193.94
27.090,156.96,145.66,209.89,195.12
27.138,156.95,145.65,206.76,194.51
27.198,156.93,145.64,194.12,241.77
27.242,156.92,145.65,196.88,229.75
27.290,156.92,145.66,200.96,215.86
27.341,156.94,145.70,192.85,206.01
27.397,156.97,153.92,176.90,209.14
27.436,157.00,153.17,176.15,202.55
27.487,157.03,152.33,175.62,199.44
27.550,157.06,148.87,172.66,191.02
27.598,157.11,161.50,152.63,208.08
27.636,157.15,157.00,151.23,201.84
27.690,157.19,152.96,149.72,196.61
27.743,157.21,151.26,148.89,194.53
27.796,157.26,148.43,147.08,191.40
27.842,157.30,154.81,137.79,204.81
27.885,157.37,152.18,134.60,203.56
27.936,157.42,150.26,133.48,202.80
27.995,157.48,149.09,132.91,202.74
28.037,157.50,148.58,132.53,203.02
28.092,157.58,152.42,123.44,208.07
28.141,157.64,151.13,122.22,209.05
28.191,157.70,150.21,121.82,209.35
28.237,157.76,147.33,120.35,209.79
28.286,157.84,147.08,116.54,212.95
28.340,157.90,147.14,114.09,213.23
28.391,157.96,147.21,112.69,213.34
28.445,158.02,147.27,112.65,213.47
28.495,158.08,147.32,112.61,213.70
28.550,158.15,147.34,112.60,213.87
28.586,158.18,147.39,112.57,145.96
28.635,158.24,147.43,112.54,154.78
28.699,158.26,147.45,112.53,160.18
28.743,158.31,147.47,112.51,170.38
28.791,158.38,147.49,112.50,179.64
28.836,158.40,147.50,112.50,176.61
28.897,158.45,147.50,112.50,182.47
28.941,158.47,147.50,112.50,187.60
28.988,158.52,147.49,112.51,191.22
29.039,158.53,147.47,112.52,193.35
29.095,158.56,147.45,112.54,187.43
29.138,158.59,147.42,112.57,187.16
29.189,158.60,147.41,112.58,186.76
29.250,158.63,147.38,112.61,185.14
29.299,158.66,147.36,112.63,183.93
29.336,158.68,147.30,112.68,179.72
29.387,158.70,147.26,112.72,176.13
29.439,158.72,147.21,112.75,174.07
29.490,158.72,147.21,112.77,172.03
29.539,158.74,147.16,112.82,167.93
29.586,158.76,147.08,112.90,161.94
29.646,158.77,147.05,112.93,161.09
29.689,158.78,146.95,123.50,158.66
29.736,158.78,146.89,130.52,158.08
29.796,158.78,146.89,130.52,158.08
29.842,158.78,146.85,133.50,158.10
29.891,158.78,146.78,209.18,101.18
29.936,177.18,146.60,148.79,101.18
29.992,179.14,146.56,148.96,101.19
30.050,182.38,146.48,150.51,101.20
30.097,185.50,146.40,151.63,101.21
30.143,180.85,148.96,113.58,101.24
30.187,166.06,149.81,113.73,101.34
30.237,166.02,146.43,113.77,101.37
30.291,164.47,145.89,113.95,116.24
30.338,163.04,145.82,114.00,118.62
30.388,158.19,159.89,114.05,148.75
30.440,158.00,171.62,114.20,178.10
30.490,157.79,166.90,114.37,169.19
30.541,157.64,163.91,114.49,161.05
30.589,157.56,162.95,114.55,158.00
30.640,157.22,169.01,114.81,172.31
30.690,157.13,169.04,114.88,170.70
30.742,156.95,170.30,115.03,169.22
30.786,156.76,172.53,115.18,170.50
30.842,156.66,173.85,116.88,172.16
30.886,156.36,176.29,137.99,182.88
30.939,156.05,180.87,150.62,197.20
30.988,155.94,182.61,153.60,202.68
31.041,155.73,186.29,157.98,214.10
31.089,155.63,188.21,159.49,219.95
31.139,155.53,172.13,201.07,250.86
31.187,155.32,169.16,211.53,263.40
31.235,155.22,175.67,208.76,271.38
31.285,154.94,181.80,203.21,276.65
31.350,154.77,188.00,192.11,280.91
31.387,154.62,185.95,188.10,281.20
31.435,154.40,183.06,181.61,286.46
31.485,154.34,182.35,177.69,284.87
31.535,154.22,181.95,168.35,279.13
31.589,154.17,181.64,163.34,275.95
31.648,154.07,177.66,158.43,273.50
31.693,154.02,176.61,154.71,271.39
31.735,153.90,174.89,147.63,267.88
31.789,153.81,168.73,137.82,259.70
31.840,153.81,168.73,137.82,259.70
31.887,153.78,167.09,136.49,257.41
31.944,153.76,166.04,135.04,255.14
31.986,153.74,165.19,133.87,253.28
32.036,153.65,150.81,140.25,242.52
32.085,153.64,148.98,140.58,241.75
32.140,153.64,146.50,141.33,239.87
32.196,153.64,142.17,143.21,235.36
32.242,153.65,139.44,146.34,229.30
32.288,153.68,139.25,144.47,225.32
32.339,153.70,139.12,142.60,221.84
32.413,153.73,138.99,140.34,217.96
32.443,153.76,138.93,142.82,213.19
32.485,153.80,138.69,136.57,206.64
32.553,153.83,138.57,133.14,205.45
32.585,153.83,138.57,133.14,204.41
32.636,153.88,138.39,128.47,202.71
32.697,153.91,138.27,129.62,200.24
32.737,153.92,138.21,128.79,200.52
32.802,153.97,138.04,127.09,202.88
32.853,154.00,137.92,126.93,205.28
32.889,154.03,137.80,124.34,210.16
32.942,154.06,137.69,129.84,210.04
32.995,154.13,137.46,134.75,214.01
33.037,154.17,137.36,137.21,215.36
33.100,154.22,137.25,139.44,216.03
33.145,154.30,137.11,141.85,215.56
33.192,154.39,136.97,143.84,212.64
33.243,154.43,136.93,143.89,211.65
33.292,154.54,136.80,143.40,209.22
33.346,154.58,136.80,143.40,207.86
33.392,225.86,136.70,122.41,104.45
33.446,214.02,136.59,122.53,104.36
33.488,198.42,136.47,122.67,104.29
33.539,177.62,136.39,122.77,104.26
33.588,177.80,136.34,122.81,104.25
33.638,180.01,136.20,122.97,104.22
33.693,182.74,136.09,123.08,104.21
33.739,183.61,135.98,123.19,104.22
33.785,183.61,135.98,123.19,104.22
33.851,154.86,158.91,123.49,193.26
33.893,154.81,165.40,123.68,193.91
33.945,154.77,167.56,123.81,190.71
34.004,154.73,149.51,123.94,209.27
34.035,154.71,151.00,124.01,224.94
34.090,154.66,156.65,124.14,210.22
34.145,154.62,160.29,124.28,195.97
34.187,154.58,161.89,124.42,183.17
34.237,154.53,149.79,124.56,199.93
34.289,154.50,149.08,124.63,195.33
34.338,154.45,148.45,124.78,186.80
34.395,154.36,149.37,134.50,175.42
34.440,154.30,149.27,142.31,171.62
34.491,154.27,148.83,145.62,171.16
34.536,154.10,142.93,154.17,181.89
34.601,153.99,140.17,157.58,192.42
34.651,153.96,139.47,158.63,192.42
34.691,153.89,137.99,160.16,203.35
34.748,153.82,136.66,161.40,209.89
34.789,153.76,135.02,161.84,212.90
34.838,153.70,133.15,161.63,220.28
34.888,153.68,132.61,161.21,222.38
