Tiempo_s,Error_Pixeles
115.300,54.57
115.500,75.61
115.900,63.79
116.200,106.38
116.600,135.72
116.900,137.30
117.000,129.99
117.200,120.00
117.500,109.04
117.800,95.75
118.000,97.02
118.200,99.82
118.500,107.45
118.800,110.44
119.200,95.34
119.500,70.72
119.800,50.80
120.000,37.74
120.200,38.64
120.600,52.35
120.900,92.40
121.100,83.49
121.300,104.40
121.400,105.95
121.700,106.23
121.800,120.02
121.900,123.17
122.200,121.33
122.300,115.88
122.600,111.51
122.900,99.73
123.200,89.96
123.600,70.26
123.800,86.58
124.000,101.00
124.200,90.20
124.400,106.00
124.800,120.20
125.300,121.26
125.600,127.01
125.700,119.82
125.800,113.14
126.000,115.12
126.200,117.10
126.400,119.34
126.600,120.10
126.800,109.17
127.000,101.49
127.100,108.23
127.200,105.48
127.500,108.46
127.700,102.59
128.100,98.62
128.300,69.57
128.500,59.62
128.700,43.86
128.800,41.40
129.100,32.45
129.500,31.76
129.700,42.72
130.100,49.52
130.300,53.23
130.500,49.66
130.800,45.31
131.100,55.66
131.500,50.70
131.800,61.68
132.100,68.41
132.300,73.16
132.400,79.51
132.600,77.03
132.800,66.49
133.000,58.31
133.200,50.54
133.700,39.20
133.900,5.00
134.100,5.39
134.300,25.00
134.500,35.01
134.700,50.49
134.900,56.89
135.100,77.49
135.300,84.86
135.500,96.57
135.700,108.41
135.900,116.28
136.100,122.33
136.400,121.66
136.800,113.36
137.000,95.67
137.300,61.10
137.400,43.68
137.600,35.11
138.000,33.24
138.300,42.72
138.700,27.59
138.900,38.48
139.100,29.07
139.300,27.20
139.500,34.71
139.700,45.25
139.900,36.89
140.100,31.91
140.300,38.21
140.500,36.40
140.800,30.08
141.200,46.62
141.400,65.01
141.600,76.06
141.900,95.02
142.200,130.10
142.600,143.35
143.100,141.51
143.600,154.43
143.900,128.86
144.400,118.23
144.800,84.59
144.900,75.15
145.100,74.73
145.400,67.68
145.600,87.66
145.800,103.32
146.300,88.60
146.500,84.72
146.700,85.71
147.000,84.29
147.300,99.20
147.500,113.14
147.900,119.68
148.400,117.72
148.600,134.45
148.700,137.83
149.200,160.10
149.400,174.43
149.700,190.54
150.100,193.26
150.600,177.25
150.800,149.00
150.900,129.00
151.200,102.88
151.400,59.54
151.500,67.07
151.800,73.03
152.000,49.50
152.400,25.00
152.900,29.02
153.200,38.08
153.500,42.94
153.900,69.97
154.400,71.69
154.600,74.63
154.900,61.61
155.100,29.12
155.400,25.71
155.600,39.32
155.800,41.77
156.000,33.02
156.200,40.61
156.500,45.28
156.800,57.78
157.300,58.59
157.600,62.24
157.800,80.31
158.100,76.69
158.300,104.04
158.600,134.84
158.800,130.46
159.300,128.32
159.600,107.00
159.800,92.01
160.100,104.04
160.400,80.65
160.700,80.08
161.200,79.70
161.600,82.98
161.800,35.47
162.000,25.81
162.500,42.30
162.700,38.95
163.000,66.71
163.200,82.86
163.600,82.01
164.100,140.00
164.600,122.02
165.100,99.46
165.300,102.08
165.600,56.08
165.800,46.84
166.000,63.64
166.300,25.06
166.500,44.01
166.700,45.88
166.900,23.77
167.100,54.04
167.300,84.72
